dmr_variable,form_name,cohort,visit,clinical_variable
MDSUPDRSFreezingScore,MDS-UPDRS,at-home-pd,36 months,mdsupdrsfreezingscore_m12_as
MDSUPDRSFreezingScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSFreezingScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSFreezingScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsfreezingscore_spd
MDSUPDRSProntSupnRtHndMvmtScr,MDS-UPDRS,at-home-pd,Baseline,prontsupnrthndmvmt
MDSUPDRSProntSupnRtHndMvmtScr,MDS-UPDRS,at-home-pd,12 months,prontsupnrthndmvmt
MDSUPDRSProntSupnRtHndMvmtScr,MDS-UPDRS,at-home-pd,24 months,prontsupnrthndmvmt
MDSUPDRSProntSupnRtHndMvmtScr,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSProntSupnRtHndMvmtScr,MDS-UPDRS,super-pd,Baseline,mdsupdrsprontsupnrthndmvmt_v2
MDSUPDRSProntSupnRtHndMvmtScr,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsprontsupnrthndmvmt_2
MDSUPDRSProntSupnRtHndMvmtScr,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsprontsupnrthndmvmt
MDSUPDRSKineticTremrRtHndScore,MDS-UPDRS,at-home-pd,Baseline,kinetictremrrthnds
MDSUPDRSKineticTremrRtHndScore,MDS-UPDRS,at-home-pd,12 months,kinetictremrrthnds
MDSUPDRSKineticTremrRtHndScore,MDS-UPDRS,at-home-pd,24 months,kinetictremrrthnds
MDSUPDRSKineticTremrRtHndScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSKineticTremrRtHndScore,MDS-UPDRS,super-pd,Baseline,mdsupdrskinetictremrrthnds_v2
MDSUPDRSKineticTremrRtHndScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrskinetictremrrthnds_2
MDSUPDRSKineticTremrRtHndScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrskinetictremrrthnds
MDSUPDRSEatingTskScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrseatingtskscore
MDSUPDRSEatingTskScore,MDS-UPDRS,at-home-pd,12 months,eatingtskscore_m12
MDSUPDRSEatingTskScore,MDS-UPDRS,at-home-pd,24 months,eatingtskscore_m12
MDSUPDRSEatingTskScore,MDS-UPDRS,at-home-pd,36 months,eatingtskscore_m12_as
MDSUPDRSEatingTskScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSEatingTskScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSEatingTskScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrseatingtskscore_spd
MDSUPDRSPrcntOffVal,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsprcntoffval
MDSUPDRSPrcntOffVal,MDS-UPDRS,at-home-pd,12 months,mdsupdrsprcntoffval
MDSUPDRSPrcntOffVal,MDS-UPDRS,at-home-pd,24 months,mdsupdrsprcntoffval
MDSUPDRSPrcntOffVal,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSPrcntOffVal,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSPrcntOffVal,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSPrcntOffVal,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsprcntoffval_spd
MDSUPDRSFuncImpactFluctScore,MDS-UPDRS,at-home-pd,Baseline,funcimpactfluctsco
MDSUPDRSFuncImpactFluctScore,MDS-UPDRS,at-home-pd,12 months,funcimpactfluctsco
MDSUPDRSFuncImpactFluctScore,MDS-UPDRS,at-home-pd,24 months,funcimpactfluctsco
MDSUPDRSFuncImpactFluctScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSFuncImpactFluctScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSFuncImpactFluctScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSFuncImpactFluctScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsfuncimpactfluctsco
MDSUPDRSRUERigidScore,MDS-UPDRS,at-home-pd,Baseline,NA
MDSUPDRSRUERigidScore,MDS-UPDRS,at-home-pd,12 months,NA
MDSUPDRSRUERigidScore,MDS-UPDRS,at-home-pd,24 months,NA
MDSUPDRSRUERigidScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSRUERigidScore,MDS-UPDRS,super-pd,Baseline,neck_2
MDSUPDRSRUERigidScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsrigidityrue_2
MDSUPDRSRUERigidScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsrigidityrue
MDSUPDRS_PartIIScore,MDS-UPDRS,at-home-pd,Baseline,NA
MDSUPDRS_PartIIScore,MDS-UPDRS,at-home-pd,12 months,NA
MDSUPDRS_PartIIScore,MDS-UPDRS,at-home-pd,24 months,NA
MDSUPDRS_PartIIScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRS_PartIIScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRS_PartIIScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRS_PartIIScore,MDS-UPDRS,super-pd,Physician_OFF,NA
MDSUPDRSLegAgiltyLftLegScore,MDS-UPDRS,at-home-pd,Baseline,legagiltylftlegsco
MDSUPDRSLegAgiltyLftLegScore,MDS-UPDRS,at-home-pd,12 months,legagiltylftlegsco
MDSUPDRSLegAgiltyLftLegScore,MDS-UPDRS,at-home-pd,24 months,legagiltylftlegsco
MDSUPDRSLegAgiltyLftLegScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSLegAgiltyLftLegScore,MDS-UPDRS,super-pd,Baseline,mdsupdrslegagiltylftlegsco_v2
MDSUPDRSLegAgiltyLftLegScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrslegagiltylftlegsco_2
MDSUPDRSLegAgiltyLftLegScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrslegagiltylftlegsco
MDSUPDRSRestTremorAmpRUEScore,MDS-UPDRS,at-home-pd,Baseline,resttremorampruesc
MDSUPDRSRestTremorAmpRUEScore,MDS-UPDRS,at-home-pd,12 months,resttremorampruesc
MDSUPDRSRestTremorAmpRUEScore,MDS-UPDRS,at-home-pd,24 months,resttremorampruesc
MDSUPDRSRestTremorAmpRUEScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSRestTremorAmpRUEScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsresttremorampruesc_v2
MDSUPDRSRestTremorAmpRUEScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsresttremorampruesc_2
MDSUPDRSRestTremorAmpRUEScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsresttremorampruesc
MDSUPDRS_PartIScore,MDS-UPDRS,at-home-pd,Baseline,NA
MDSUPDRS_PartIScore,MDS-UPDRS,at-home-pd,12 months,NA
MDSUPDRS_PartIScore,MDS-UPDRS,at-home-pd,24 months,NA
MDSUPDRS_PartIScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRS_PartIScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRS_PartIScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRS_PartIScore,MDS-UPDRS,super-pd,Physician_OFF,NA
MDSUPDRSComplxtyMtrFluctScore,MDS-UPDRS,at-home-pd,Baseline,complxtymtrfluctsc
MDSUPDRSComplxtyMtrFluctScore,MDS-UPDRS,at-home-pd,12 months,complxtymtrfluctsc
MDSUPDRSComplxtyMtrFluctScore,MDS-UPDRS,at-home-pd,24 months,complxtymtrfluctsc
MDSUPDRSComplxtyMtrFluctScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSComplxtyMtrFluctScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSComplxtyMtrFluctScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSComplxtyMtrFluctScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrscomplxtymtrfluctsc
MDSUPDRSTmSpntOffStateScore,MDS-UPDRS,at-home-pd,Baseline,tmspntoffstatescor
MDSUPDRSTmSpntOffStateScore,MDS-UPDRS,at-home-pd,12 months,tmspntoffstatescor
MDSUPDRSTmSpntOffStateScore,MDS-UPDRS,at-home-pd,24 months,tmspntoffstatescor
MDSUPDRSTmSpntOffStateScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSTmSpntOffStateScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSTmSpntOffStateScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSTmSpntOffStateScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrstmspntoffstatescor
MDSUPDRSLegAgiltyRteLegScore,MDS-UPDRS,at-home-pd,Baseline,legagiltyrtelegsco
MDSUPDRSLegAgiltyRteLegScore,MDS-UPDRS,at-home-pd,12 months,legagiltyrtelegsco
MDSUPDRSLegAgiltyRteLegScore,MDS-UPDRS,at-home-pd,24 months,legagiltyrtelegsco
MDSUPDRSLegAgiltyRteLegScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSLegAgiltyRteLegScore,MDS-UPDRS,super-pd,Baseline,mdsupdrslegagiltyrtelegsco_v2
MDSUPDRSLegAgiltyRteLegScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrslegagiltyrtelegsco_2
MDSUPDRSLegAgiltyRteLegScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrslegagiltyrtelegsco
MDSUPDRSMvmntIntrfrnceScore,MDS-UPDRS,at-home-pd,Baseline,mvmntintrfrncescor
MDSUPDRSMvmntIntrfrnceScore,MDS-UPDRS,at-home-pd,12 months,mvmntintrfrncescor
MDSUPDRSMvmntIntrfrnceScore,MDS-UPDRS,at-home-pd,24 months,mvmntintrfrncescor
MDSUPDRSMvmntIntrfrnceScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSMvmntIntrfrnceScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsmvmntintrfrncescor_v2
MDSUPDRSMvmntIntrfrnceScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsmvmntintrfrncescor_2
MDSUPDRSMvmntIntrfrnceScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsmvmntintrfrncescor
MDSUPDRS_TotalScore,MDS-UPDRS,at-home-pd,Baseline,NA
MDSUPDRS_TotalScore,MDS-UPDRS,at-home-pd,12 months,NA
MDSUPDRS_TotalScore,MDS-UPDRS,at-home-pd,24 months,NA
MDSUPDRS_TotalScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRS_TotalScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRS_TotalScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRS_TotalScore,MDS-UPDRS,super-pd,Physician_OFF,NA
PronatSupinLftHndMvmntScore,MDS-UPDRS,at-home-pd,Baseline,NA
PronatSupinLftHndMvmntScore,MDS-UPDRS,at-home-pd,12 months,NA
PronatSupinLftHndMvmntScore,MDS-UPDRS,at-home-pd,24 months,NA
PronatSupinLftHndMvmntScore,MDS-UPDRS,at-home-pd,36 months,NA
PronatSupinLftHndMvmntScore,MDS-UPDRS,super-pd,Baseline,pronatsupinlfthndmvmntscor_v2
PronatSupinLftHndMvmntScore,MDS-UPDRS,super-pd,Physician_ON,pronatsupinlfthndmvmntscor_2
PronatSupinLftHndMvmntScore,MDS-UPDRS,super-pd,Physician_OFF,pronatsupinlfthndmvmntscor
MDSUPDRSConstncyRestTremrScore,MDS-UPDRS,at-home-pd,Baseline,constncyresttremrs
MDSUPDRSConstncyRestTremrScore,MDS-UPDRS,at-home-pd,12 months,constncyresttremrs
MDSUPDRSConstncyRestTremrScore,MDS-UPDRS,at-home-pd,24 months,constncyresttremrs
MDSUPDRSConstncyRestTremrScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSConstncyRestTremrScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsconstncyresttremrs_v2
MDSUPDRSConstncyRestTremrScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsconstncyresttremrs_2
MDSUPDRSConstncyRestTremrScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsconstncyresttremrs
MDSUPDRSTtlHrOffDemnDystniaNum,MDS-UPDRS,at-home-pd,Baseline,ttlhroffdemndystni
MDSUPDRSTtlHrOffDemnDystniaNum,MDS-UPDRS,at-home-pd,12 months,ttlhroffdemndystni
MDSUPDRSTtlHrOffDemnDystniaNum,MDS-UPDRS,at-home-pd,24 months,ttlhroffdemndystni
MDSUPDRSTtlHrOffDemnDystniaNum,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSTtlHrOffDemnDystniaNum,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSTtlHrOffDemnDystniaNum,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSTtlHrOffDemnDystniaNum,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsttlhroffdemndystni
MDSUPDRSHallucPsychosScore,MDS-UPDRS,at-home-pd,Baseline,hallucpsychosscore
MDSUPDRSHallucPsychosScore,MDS-UPDRS,at-home-pd,12 months,hallucpsychosscore
MDSUPDRSHallucPsychosScore,MDS-UPDRS,at-home-pd,24 months,hallucpsychosscore
MDSUPDRSHallucPsychosScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSHallucPsychosScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSHallucPsychosScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSHallucPsychosScore,MDS-UPDRS,super-pd,Physician_OFF,mds_psy
MDSUPDRSRestTremrAmpLipJawScr,MDS-UPDRS,at-home-pd,Baseline,resttremramplipjaw
MDSUPDRSRestTremrAmpLipJawScr,MDS-UPDRS,at-home-pd,12 months,resttremramplipjaw
MDSUPDRSRestTremrAmpLipJawScr,MDS-UPDRS,at-home-pd,24 months,resttremramplipjaw
MDSUPDRSRestTremrAmpLipJawScr,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSRestTremrAmpLipJawScr,MDS-UPDRS,super-pd,Baseline,mdsupdrsresttremramplipjaw_v2
MDSUPDRSRestTremrAmpLipJawScr,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsresttremramplipjaw_2
MDSUPDRSRestTremrAmpLipJawScr,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsresttremramplipjaw
MDSUPDRS_PartIVScore,MDS-UPDRS,at-home-pd,Baseline,NA
MDSUPDRS_PartIVScore,MDS-UPDRS,at-home-pd,12 months,NA
MDSUPDRS_PartIVScore,MDS-UPDRS,at-home-pd,24 months,NA
MDSUPDRS_PartIVScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRS_PartIVScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRS_PartIVScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRS_PartIVScore,MDS-UPDRS,super-pd,Physician_OFF,NA
MDSUPDRSHygieneScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrshygienescore
MDSUPDRSHygieneScore,MDS-UPDRS,at-home-pd,12 months,mdsupdrshygienescore_m12
MDSUPDRSHygieneScore,MDS-UPDRS,at-home-pd,24 months,mdsupdrshygienescore_m12
MDSUPDRSHygieneScore,MDS-UPDRS,at-home-pd,36 months,mdsupdrshygienescore_m12_as
MDSUPDRSHygieneScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSHygieneScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSHygieneScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrshygienescore_spd
MDSUPDRSTtlHrOffNum,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsttlhroffnum
MDSUPDRSTtlHrOffNum,MDS-UPDRS,at-home-pd,12 months,mdsupdrsttlhroffnum
MDSUPDRSTtlHrOffNum,MDS-UPDRS,at-home-pd,24 months,mdsupdrsttlhroffnum
MDSUPDRSTtlHrOffNum,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSTtlHrOffNum,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSTtlHrOffNum,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSTtlHrOffNum,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsttlhroffnum_spd
MDSUPDRS_PartIIIScore,MDS-UPDRS,at-home-pd,Baseline,NA
MDSUPDRS_PartIIIScore,MDS-UPDRS,at-home-pd,12 months,NA
MDSUPDRS_PartIIIScore,MDS-UPDRS,at-home-pd,24 months,NA
MDSUPDRS_PartIIIScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRS_PartIIIScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRS_PartIIIScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRS_PartIIIScore,MDS-UPDRS,super-pd,Physician_OFF,NA
MDSUPDRSGttngOutBedScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsgttngoutbedscore
MDSUPDRSGttngOutBedScore,MDS-UPDRS,at-home-pd,12 months,gttngoutbedscore_m12
MDSUPDRSGttngOutBedScore,MDS-UPDRS,at-home-pd,24 months,gttngoutbedscore_m12
MDSUPDRSGttngOutBedScore,MDS-UPDRS,at-home-pd,36 months,gttngoutbedscore_m12_as
MDSUPDRSGttngOutBedScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSGttngOutBedScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSGttngOutBedScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsgttngoutbedscore_spd
MDSUPDRSPtntPrknsnMedInd,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsptntprknsnmedind
MDSUPDRSPtntPrknsnMedInd,MDS-UPDRS,at-home-pd,12 months,mdsupdrsptntprknsnmedind
MDSUPDRSPtntPrknsnMedInd,MDS-UPDRS,at-home-pd,24 months,mdsupdrsptntprknsnmedind
MDSUPDRSPtntPrknsnMedInd,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSPtntPrknsnMedInd,MDS-UPDRS,super-pd,Baseline,mdsupdrsptntprknsnmedind_v2
MDSUPDRSPtntPrknsnMedInd,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsptntprknsnmedind_2
MDSUPDRSPtntPrknsnMedInd,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsptntprknsnmedind_spd
MDSUPDRSLUERigidScore,MDS-UPDRS,at-home-pd,Baseline,NA
MDSUPDRSLUERigidScore,MDS-UPDRS,at-home-pd,12 months,NA
MDSUPDRSLUERigidScore,MDS-UPDRS,at-home-pd,24 months,NA
MDSUPDRSLUERigidScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSLUERigidScore,MDS-UPDRS,super-pd,Baseline,neck_3
MDSUPDRSLUERigidScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsrigiditylue_2
MDSUPDRSLUERigidScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsrigidityrue
MDSUPDRSFacialExprScore,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsfacialexprscore
MDSUPDRSFacialExprScore,MDS-UPDRS,at-home-pd,12 months,mdsupdrsfacialexprscore
MDSUPDRSFacialExprScore,MDS-UPDRS,at-home-pd,24 months,mdsupdrsfacialexprscore
MDSUPDRSFacialExprScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSFacialExprScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsfacialexprscore_v2
MDSUPDRSFacialExprScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsfacialexprscore_2
MDSUPDRSFacialExprScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsfacialexprscore_spd
MDSUPDRSRcntCogImprmntScore,MDS-UPDRS,at-home-pd,Baseline,rcntcogimprmntscor
MDSUPDRSRcntCogImprmntScore,MDS-UPDRS,at-home-pd,12 months,rcntcogimprmntscor
MDSUPDRSRcntCogImprmntScore,MDS-UPDRS,at-home-pd,24 months,rcntcogimprmntscor
MDSUPDRSRcntCogImprmntScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSRcntCogImprmntScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSRcntCogImprmntScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSRcntCogImprmntScore,MDS-UPDRS,super-pd,Physician_OFF,mds_cog
MDSUPDRSArisingFrmChrScore,MDS-UPDRS,at-home-pd,Baseline,arisingfrmchrscore
MDSUPDRSArisingFrmChrScore,MDS-UPDRS,at-home-pd,12 months,arisingfrmchrscore
MDSUPDRSArisingFrmChrScore,MDS-UPDRS,at-home-pd,24 months,arisingfrmchrscore
MDSUPDRSArisingFrmChrScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSArisingFrmChrScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsarisingfrmchrscore_v2
MDSUPDRSArisingFrmChrScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsarisingfrmchrscore_2
MDSUPDRSArisingFrmChrScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsarisingfrmchrscore
MDSUPDRSPtntUseLDOPAInd,MDS-UPDRS,at-home-pd,Baseline,mdsupdrsptntuseldopaind
MDSUPDRSPtntUseLDOPAInd,MDS-UPDRS,at-home-pd,12 months,mdsupdrsptntuseldopaind
MDSUPDRSPtntUseLDOPAInd,MDS-UPDRS,at-home-pd,24 months,mdsupdrsptntuseldopaind
MDSUPDRSPtntUseLDOPAInd,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSPtntUseLDOPAInd,MDS-UPDRS,super-pd,Baseline,mdsupdrsptntuseldopaind_v2
MDSUPDRSPtntUseLDOPAInd,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsptntuseldopaind_2
MDSUPDRSPtntUseLDOPAInd,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsptntuseldopaind_spd
MDSUPDRSDopmnDysregSyndScore,MDS-UPDRS,at-home-pd,Baseline,dopmndysregsyndsco
MDSUPDRSDopmnDysregSyndScore,MDS-UPDRS,at-home-pd,12 months,dopmndysregsyndsco
MDSUPDRSDopmnDysregSyndScore,MDS-UPDRS,at-home-pd,24 months,dopmndysregsyndsco
MDSUPDRSDopmnDysregSyndScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSDopmnDysregSyndScore,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSDopmnDysregSyndScore,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSDopmnDysregSyndScore,MDS-UPDRS,super-pd,Physician_OFF,mds_dop
MDSUPDRSPostrlTremrLftHndScore,MDS-UPDRS,at-home-pd,Baseline,postrltremrlfthnds
MDSUPDRSPostrlTremrLftHndScore,MDS-UPDRS,at-home-pd,12 months,postrltremrlfthnds
MDSUPDRSPostrlTremrLftHndScore,MDS-UPDRS,at-home-pd,24 months,postrltremrlfthnds
MDSUPDRSPostrlTremrLftHndScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSPostrlTremrLftHndScore,MDS-UPDRS,super-pd,Baseline,mdsupdrspostrltremrlfthnds_v2
MDSUPDRSPostrlTremrLftHndScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrspostrltremrlfthnds_2
MDSUPDRSPostrlTremrLftHndScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrspostrltremrlfthnds
MDSUPDRSRestTremorAmpLLEScore,MDS-UPDRS,at-home-pd,Baseline,resttremorampllesc
MDSUPDRSRestTremorAmpLLEScore,MDS-UPDRS,at-home-pd,12 months,resttremorampllesc
MDSUPDRSRestTremorAmpLLEScore,MDS-UPDRS,at-home-pd,24 months,resttremorampllesc
MDSUPDRSRestTremorAmpLLEScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSRestTremorAmpLLEScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsresttremorampllesc_v2
MDSUPDRSRestTremorAmpLLEScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsresttremorampllesc_2
MDSUPDRSRestTremorAmpLLEScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsresttremorampllesc
MDSUPDRSPostrlStabltyScore,MDS-UPDRS,at-home-pd,Baseline,NA
MDSUPDRSPostrlStabltyScore,MDS-UPDRS,at-home-pd,12 months,NA
MDSUPDRSPostrlStabltyScore,MDS-UPDRS,at-home-pd,24 months,NA
MDSUPDRSPostrlStabltyScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSPostrlStabltyScore,MDS-UPDRS,super-pd,Baseline,postinst_instr
MDSUPDRSPostrlStabltyScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsposstabil_2
MDSUPDRSPostrlStabltyScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsposstabil
MDSUPDRSRestTremorAmpRLEScore,MDS-UPDRS,at-home-pd,Baseline,resttremoramprlesc
MDSUPDRSRestTremorAmpRLEScore,MDS-UPDRS,at-home-pd,12 months,resttremoramprlesc
MDSUPDRSRestTremorAmpRLEScore,MDS-UPDRS,at-home-pd,24 months,resttremoramprlesc
MDSUPDRSRestTremorAmpRLEScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSRestTremorAmpRLEScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsresttremoramprlesc_v2
MDSUPDRSRestTremorAmpRLEScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsresttremoramprlesc_2
MDSUPDRSRestTremorAmpRLEScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsresttremoramprlesc
MDSUPDRSTtlHrAwkOffStateNum,MDS-UPDRS,at-home-pd,Baseline,ttlhrawkoffstatenu
MDSUPDRSTtlHrAwkOffStateNum,MDS-UPDRS,at-home-pd,12 months,ttlhrawkoffstatenu
MDSUPDRSTtlHrAwkOffStateNum,MDS-UPDRS,at-home-pd,24 months,ttlhrawkoffstatenu
MDSUPDRSTtlHrAwkOffStateNum,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSTtlHrAwkOffStateNum,MDS-UPDRS,super-pd,Baseline,NA
MDSUPDRSTtlHrAwkOffStateNum,MDS-UPDRS,super-pd,Physician_ON,NA
MDSUPDRSTtlHrAwkOffStateNum,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsttlhrawkoffstatenu
MDSUPDRSFingerTppngRteHndScore,MDS-UPDRS,at-home-pd,Baseline,fingertppngrtehnds
MDSUPDRSFingerTppngRteHndScore,MDS-UPDRS,at-home-pd,12 months,fingertppngrtehnds
MDSUPDRSFingerTppngRteHndScore,MDS-UPDRS,at-home-pd,24 months,fingertppngrtehnds
MDSUPDRSFingerTppngRteHndScore,MDS-UPDRS,at-home-pd,36 months,NA
MDSUPDRSFingerTppngRteHndScore,MDS-UPDRS,super-pd,Baseline,mdsupdrsfingertppngrtehnds_v2
MDSUPDRSFingerTppngRteHndScore,MDS-UPDRS,super-pd,Physician_ON,mdsupdrsfingertppngrtehnds_2
MDSUPDRSFingerTppngRteHndScore,MDS-UPDRS,super-pd,Physician_OFF,mdsupdrsfingertppngrtehnds
MDSUPDRSPostrlTremorRtHndScore,MDS-UPDRS,at-home-pd,Baseline,postrltremorrthnds
MDSUPDRSPostrlTremorRtHndScore,MDS-UPDRS,at-home-pd,12 months,postrltremorrthnds
MDSUPDRSPostrlTremorRtHndScore,MDS-UPDRS,at-home-pd,24 months,postrltremorrthnds
MDSUPDRSPostrlTremorRtHndScore,MDS-UPDRS,at-home-pd,36 months,NA
