field_name,form_name,title,element type,version,definition,short description,datatype,maximum character quantity,input restriction,minimum value,maximum value,permissible values,permissible value descriptions,permissible value output codes,Item Response OID,Element OID,unit of measure,guidelines/instructions,notes,preferred question text,keywords,references,population.all,domain.general (for all diseases),domain.traumatic brain injury,domain.Parkinson's disease,domain.Friedreich's ataxia,domain.stroke,domain.amyotrophic lateral sclerosis,domain.Huntington's disease,domain.multiple sclerosis,domain.neuromuscular diseases,domain.myasthenia gravis,domain.spinal muscular atrophy,domain.Duchenne muscular dystrophy/Becker muscular dystrophy,domain.congenital muscular dystrophy,domain.spinal cord injury,domain.headache,domain.epilepsy,classification.general (for all diseases),classification.acute hospitalized,classification.concussion/mild TBI,classification.epidemiology,classification.moderate/severe TBI: rehabilitation,classification.Parkinson's disease,classification.Friedreich's ataxia,classification.stroke,classification.amyotrophic lateral sclerosis,classification.Huntington's disease,classification.multiple sclerosis,classification.neuromuscular diseases,classification.myasthenia gravis,classification.spinal muscular atrophy,classification.Duchenne muscular dystrophy/Becker muscular dystrophy,classification.congenital muscular dystrophy,classification.spinal cord injury,classification.headache,classification.epilepsy,historical notes,Label(s),see also,submitting organization name,submitting contact name,submitting contact information,effective date,until date,steward organization name,steward contact name,steward contact information,creation date,last change date,administrative status,CAT OID,Form Item OID
MSQ_BedpartnerInjInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - bedpartner injured indicator,Unique Data Element,1.1,A bedpartner been injured from the subject ''act out his/her dreams'' behavior indicator,A bedpartner been injured from the subject indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;No bedpartner;Yes,No;No bedpartner;Yes,0;2;1,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire_Bedpartner Injured Q1c,"Has a bedpartner ever been injured from these behaviors (bruises, blows, pulled hair)?",NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3150,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_DreamsActInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - act out dreams indicator,Unique Data Element,1.3,The subject appears to ''act out his/her dreams'' indication,The subject appears to ''act out his/her dreams'' indication,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,"Please mark YES if the described event has occurred at least 3 times.  If yes, answer a-e, below.",REM Questionnaire Act Out Dreams Q1,"Have you ever seen the patient appear to ''act out his/her dreams'' while sleeping? (punched or flailed arms in the air, shouted or screamed)",NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3151,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_DreamsActNumMo,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - act out dreams number of months,Unique Data Element,1.2,Number of months the patient appear to ''act out his/her dreams'' while sleeping,Acting out dreams number of months,Numeric Values,NA,Free-Form Entry,NA,NA,NA,NA,NA,NA,NA,NA,NA,REM Questionnaire Act Out Months Q1a,How many months or years has this been going on?,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3152,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_DreamsActNumYr,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - act out dreams number of years,Unique Data Element,1.3,Number of years the patient appear to ''act out his/her dreams'' while sleeping,Acting out dreams number of years,Numeric Values,NA,Free-Form Entry,NA,NA,NA,NA,NA,NA,NA,NA,NA,REM Questionnaire Act Out Years Q1a,Sleep Questionnaire.  1a. How many months or years has this been going on?,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3153,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_DreamsAttackedInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - reported dreams of being attacked indicator,Unique Data Element,1.3,"The subject  reported about dreams of being chased, attacked, or had to defend himself/herself",The subject  reported about dreams of being chased or attacked,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,Never told you about dreams;No;Yes,Never told you about dreams;No;Yes,2;0;1,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire Told Dreams Q1d,"Has the subject told you about dreams of being chased, attacked or that involve defending himself/herself?",NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3154,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_DreamsMatchDetailsInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - dream details match indicator,Unique Data Element,1.1,The details of the subject's dream match the subject movements made while sleeping,Details of the dream match the movements made while sleeping indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,Never told you about dreams;No;Yes,Never told you about dreams;No;Yes,2;0;21,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire_Dream Details Match Q1e,"If the subject woke up and told you about a dream, did the details of the dream match the movements made while sleeping?",NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3155,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_LegCrampsInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - leg cramps indicator,Unique Data Element,1.3,The subject experienced  leg cramps or intense pain in certain muscles in the leg at night indicator,The subject have leg cramps at night indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire Leg Cramps Q7,"Does the subject have leg cramps at night? (e.g., also called a ''charlie horse'' with intense pain in certain muscles in the leg)?",NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3156,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_LegJerkInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - legs jerk indicator,Unique Data Element,1.2,The subject's legs repeatedly jerk or twitch during sleep (not just when falling asleep) indicator,Legs repeatedly jerk or twitch during sleep indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire Legs Jerk Q2,Do the subject's legs repeatedly jerk or twitch during sleep (not just when falling asleep)?,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3157,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_LegSensationDecreaseInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - leg sensations decrease indicator,Unique Data Element,1.1,Unpleasant leg sensations decrease when the subject moves or walks around indicator,Leg sensations decrease when the subject moves indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire Leg Sensations Decrease Q3a,Does the subject tell you that these leg sensations decrease when he/she moves them or walks around?,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3158,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_LegSensationWorst,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - time leg sensations worst,Unique Data Element,1.3,Time when the unpleasant leg sensations are the worst,Time when the leg sensations are the worst,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,After 6pm;Before 6pm,After 6pm;Before 6pm,6;18,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire Time Leg Sensations Worst Q3b,When do these sensations seem to be the worst?,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3159,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_LiveWithSubjInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - live with subject indicator,Unique Data Element,1.2,Live with the subject indicator,Live with the subject indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,Choose one,REM Questionnaire Live With Subject,Information about the Informant. Do you Live with the subject?,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3160,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_PatientInjInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - patient injured while sleeping indicator,Unique Data Element,1.3,"The subject  has been injured from ''act out his/her dreams'' while sleeping behaviors (bruises, cuts, broken bones) indicator",The subject  has been self-injured while sleeping  indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire_Patient injured Q1b,"Has the patient ever been injured from these behaviors (bruises, cuts, broken bones?",NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3161,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_RateAlert,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - rate of alertness,Unique Data Element,1.1,The rate of  the subject's general level of alertness for the past 3 weeks,The subject's general level of alertness for the past 3 weeks,Numeric Values,NA,Single Pre-Defined Value Selected,NA,NA,0;1;10;2;3;4;5;6;7;8;9,0;1;10;2;3;4;5;6;7;8;9,0;1;10;2;3;4;5;6;7;8;9,NA,NA,NA,"0 means Sleep all day, 10 means  Fully and Normally Awake",REM Questionnaire_Rate Of Alertness Q8,Rate the subject's general level of alertness for the past 3 weeks on a scale from 0 to 10.,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3162,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_RestlessLegInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - restless legs indicator,Unique Data Element,1.1,"The subject complains of a restless, nervous, tingly, or creepy-crawly feeling in legs which affects his ability to fall or stay asleep indicator",Restless feeling in legs affect the subject ability to fall or stay asleep indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,"Please mark YES if the described event has occurred at least 3 times. If Yes, answer a-b below.",REM Questionnaire_Restless Legs Q3,"Does the subject complain of a restless, nervous, tingly, or creepy-crawly feeling in his/her legs that disrupts his/her ability to fall or stay asleep?",NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3163,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_SleepBehavrInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - distracting sleep behaviors indicator,Unique Data Element,1.3,"If no, is it because of his/her sleep behaviors (snores too loud, acts out dreams, etc.)",Distracting sleep behaviors indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Unknown;Yes,No;Unknown;Yes,0;9;1,NA,NA,NA,Choose one,REM Questionnaire_Distracting sleep behaviors indicator,"Information about the Informant. If no, is it because of his/her sleep behaviors (snores too loud, acts out dreams, etc.)",NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3164,Adult and Pediatric,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_SleepSameRoomInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - sleep in the same room indicator,Unique Data Element,1.3,Sleep in the same room with the subject indicator,Sleep in the same room with the subject indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,Choose one,REM Questionnaire_Sleep in the same room indicator,Information about the Informant. Do you sleep in the same room as the patient?,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3165,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_SleepWalk,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - walked asleep indicator,Unique Data Element,1.2,The subject was seen  walking around the bedroom or house while asleep,The subject was seen  walking around  while asleep,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire Walked Asleep Q4,Has the subject ever walked around the bedroom or house while asleep?,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3166,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_SnortAwakeInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - snorted awake indicator,Unique Data Element,1.2,The subject snorted or choked him/herself awake indicator,The subject snorted him/herself awake indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire_Snorted Awake Q5,Has the subject ever snorted or choked him/herself awake?,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3167,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_StopBreathingInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - stop breathing indicator,Unique Data Element,1.1,The subject stop breathing during sleep event indicator,The subject stop breathing  during sleep  indicator,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire_Stop Breathing Q6,Does the subject ever seem to stop breathing during sleep?,NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3168,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MSQ_TreatedStopBreathingInd,MayoSleepQuestionnaire,Mayo Sleep Questionnaire (MSQ) - treated for stop breathing indicator,Unique Data Element,1.3,The subject is currently being treated for stop breathing during the sleep (CPAP) indicator,The subject is currently being treated for stop breathing during the sleep,Alphanumeric,NA,Single Pre-Defined Value Selected,NA,NA,No;Yes,No;Yes,0;1,NA,NA,NA,Please mark YES if the described event has occurred at least 3 times.,REM Questionnaire Treated For Stop Breathing Q6a,"If Yes,  Is the subject currently being treated for this (e.g., CPAP)?",NA,Mayo Sleep Questionnaire-Informant.2009 Mayo Foundation for Medical Education and Research. All Rights Reserved. https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3169,Adult,Assessments and Examinations.Physical/Neurological Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/CIT/BRICS,NA,NA,NA,NA,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,2014-04-01,2017-09-25,Published,NA,NA
MedctnPriorConcomDoseMsrTxt,PriorAndConcomitantMeds,Medication prior concomitant dose taken per administration text description,Unique Data Element,1.1,Dose of prior/concomitant medication taken per administration text description,Dose of prior/concomitant medication taken per administration text description,Alphanumeric,4000,Free-Form Entry,NA,NA,NA,NA,NA,NA,NA,NA,Alphanumeric medication dose field to capture dosages containing non-numeric characters,"CDISC variables: For PDBP use the following: CM=Concomitant Medications, CMINC=Parkinson's Disease, CMDOSU,",NA,CDISC,NA,Adult and Pediatric,Treatment/Intervention Data.Drugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/NINDS,NA,NA,NA,NA,NIH/NINDS,NA,NA,2014-04-01,2020-02-05,Published,NA,NA
MedctnPriorConcomDoseUoM,PriorAndConcomitantMeds,Medication prior or concomitant dose unit of measure,Unique Data Element,1.5,Dosage unit of measure of the prior or concomitant medication administered.,Dosage unit of measure of the prior or concomitant medication administered.,Alphanumeric,255,Free-Form Entry,NA,NA,"g;mcg;mcL;mg;mL;NA;Other, specify;oz;Unknown","gram;microgram;microliter;milligram;milliliter;Not applicable;Other, specify;ounce;Unknown",1;2;3;4;5;777;444;6;999,NA,NA,NA,"Record the units of the medication the participant/subject is taking. See the data dictionary for additional information on coding the dosage unit of measure using Unified Code for Units of Measure (UCUM) (http://unitsofmeasure.org/trac).
","CDISC variables: For PDBP use the following: CM=Concomitant Medications, CMINC=Parkinson's Disease, CMDOSU","Dosage unit of measure 
",CDISC;Medical_History,"Unified Code for Units of Measure (UCUM) - http://unitsofmeasure.org/
",Adult and Pediatric,Treatment/Intervention Data.Drugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/NINDS,NA,NA,NA,NA,NIH/NINDS,NA,NA,2014-04-01,2020-02-05,Published,NA,NA
MedctnPriorConcomFreqTxt,PriorAndConcomitantMeds,Medication prior concomitant frequency text,Unique Data Element,1.1,Medication prior or concomitant dose frequency text description,Medication prior or concomitant dose frequency text description,Alphanumeric,4000,Free-Form Entry,NA,NA,"BID;Other, specify;QD;QHS;QID;TID","Twice daily;Other, specify;Every day;Every night at bedtime;Four times per day;Three times per day",1;444;3;4;5;6,NA,NA,NA,Alphanumeric field describing medication dose frequency,"CDISC variables: For PDBP use the following: CM=Concomitant Medications, CMINC=Parkinson's Disease, CMDOSU, CMDOSFRQ",NA,CDISC,NA,Adult and Pediatric,Treatment/Intervention Data.Drugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/NINDS,NA,NA,NA,NA,NIH/NINDS,NA,NA,2014-04-01,2020-02-05,Published,NA,NA
MedctnPriorConcomHrsLstDose,PriorAndConcomitantMeds,Medication prior concomitant hours since last dose,Unique Data Element,1.1,Medication prior or concomitant number of hours since the last dose,Medication prior or concomitant number of hours since the last dose,Numeric Values,NA,Free-Form Entry,NA,NA,NA,NA,NA,NA,NA,NA,Record the dose,"CDISC variables: For PDBP use the following: CM=Concomitant Medications, CMINC=Parkinson's Disease, CMDOSE",NA,CDISC,NA,Adult and Pediatric,Treatment/Intervention Data.Drugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supplemental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIH/NINDS,NA,NA,NA,NA,NIH/NINDS,NA,NA,2014-04-01,2020-02-05,Published,NA,NA
